homo sapiens
pan paniscus
gorilla gorilla
pongo abelii
nomascus leucogenys
chlorocebus sabaeus
mandrillus leucophaeus
colobus angolensis palliatus
macaca mulatta
otolemur garnettii
fukomys damarensis
spermophilus dauricus
mus musculus
rattus norvegicus
heterocephalus glaber female
chinchilla lanigera
cavia porcellus
jaculus jaculus
heterocephalus glaber male
ictidomys tridecemlineatus
octodon degus
mus pahari
mus spretus
mus caroli
urocitellus parryii
marmota marmota marmota
ovis aries
pteropus vampyrus
bison bison bison
ursus maritimus
ailuropoda melanoleuca
bos taurus
capra hircus
mustela putorius furo
dasypus novemcinctus
procavia capensis
loxodonta africana
sorex araneus
canis familiaris
oryctolagus cuniculus
ochotona princeps
dipodomys ordii
notamacropus eugenii
sarcophilus harrisii
monodelphis domestica
anas platyrhynchos platyrhynchos
melopsittacus undulatus
apteryx rowi
cyanistes caeruleus
apteryx haastii
calidris pygmaea
nothoprocta perdicaria
gallus gallus
manacus vitellinus
calidris pugnax
lonchura striata domestica
pogona vitticeps
dromaius novaehollandiae
salvator merianae
parus major
anolis carolinensis
apteryx owenii
gopherus agassizii
crocodylus porosus
notechis scutatus
serinus canaria
chrysemys picta bellii
chelonoidis abingdonii
pelodiscus sinensis
junco hyemalis
xenopus tropicalis
latimeria chalumnae
hucho hucho
cyprinodon variegatus
mastacembelus armatus
ictalurus punctatus
cynoglossus semilaevis
danio rerio
astatotilapia calliptera
maylandia zebra
fundulus heteroclitus
acanthochromis polyacanthus
haplochromis burtoni
labrus bergylta
anabas testudineus
xiphophorus couchianus
clupea harengus
stegastes partitus
denticeps clupeoides
larimichthys crocea
poecilia mexicana
seriola dumerili
oryzias melastigma
scleropages formosus
mola mola
monopterus albus
erpetoichthys calabaricus
gadus morhua
cottoperca gobio
lates calcarifer
periophthalmus magnuspinnatus
hippocampus comes
xiphophorus maculatus
amphiprion percula
amphilophus citrinellus
astyanax mexicanus
pundamilia nyererei
kryptolebias marmoratus
parambassis ranga
esox lucius
paramormyrops kingsleyae
poecilia latipinna
amphiprion ocellaris
betta splendens
oreochromis niloticus
gambusia affinis
gouania willdenowi
gasterosteus aculeatus
tetraodon nigroviridis
poecilia formosa
seriola lalandi dorsalis
takifugu rubripes
electrophorus electricus
lepisosteus oculatus
callorhinchus milii
oryzias latipes
pygocentrus nattereri
scophthalmus maximus
astyanax mexicanus pachon
neolamprologus brichardi
poecilia reticulata
petromyzon marinus
eptatretus burgeri
ciona savignyi
ciona intestinalis
